Số TT,Mã MH,Tên MH (VN),Tên MH (EN),Còn mở lớp,Đơn vị quản lý,Loại MH,Mã cũ,Mã tương đương,Mã tiên quyết,Mã môn học trước,Số TCLT,Số TCTH
78,CE322,Thiết kế vi mạch hỗn hợp,Mixed-signal integrated circuit design,Đang mở,KTMT,CN,,,,CE222,2,1
79,CE323,Kỹ thuật thiết kế mạch in,Printed Circuit Board Design,Đang mở,KTMT,CN,,,,CE101CE104CE103,2,1
80,CE324,Thiết kế vi mạch tương tự,Analog integrated circuit design,Đang mở,KTMT,CN,,,,CE104CE221,2,1
81,CE325,Thiết kế dựa trên vi xử lý,Microprocessor-based system design,Đang mở,KTMT,CN,,CE335,,IT001IT006IT003,2,1
82,CE326,Tự động hóa thiết kế vi mạch,Circuit-design automation,Đang mở,KTMT,CN,,,,CE221,2,1
83,CE327,Tối ưu hóa dựa trên FPGA,FPGA-based optimization,Đang mở,KTMT,CN,,CE337,,CE118IT006CE221,3,0
84,CE331,Kỹ thuật chế tạo vi mạch,Integrated Circuit Fabrication,Đang mở,KTMT,CNTC,,CE321,,CE222,3,1
85,CE332,Thiết kế vi mạch hỗn hợp,Mixed-Signal Integrated Circuit Design,Đang mở,KTMT,CNTC,,CE322,,CE222,3,1
86,CE333,Tiếng Anh chuyên ngành Kỹ thuật máy tính,Technical English for Computer Engineering,Đang mở,KTMT,CN,,,,ENG03IT007,4,0
87,CE334,Thiết kế vi mạch tương tự,Analog Integrated Circuit Design,Đang mở,KTMT,CNTC,,CE324,,CE124CE213,3,1
88,CE335,Thiết kế dựa trên vi xử lý,Microprocessor-Based Design,Đang mở,KTMT,CNTC,,CE325,,IT006IT003IT001,3,1
89,CE336,Tự động hóa thiết kế vi mạch,Electronic Design Automation,Đang mở,KTMT,CNTC,,CE326,,CE118CE213,3,1
90,CE337,Tối ưu hóa dựa trên FPGA,FPGA-based Optimization,Đang mở,KTMT,CNTC,,CE327,,IT006CE118CE213,3,1
91,CE338,Hệ thống thời gian thực,Real-Time Systems,Đang mở,KTMT,CNTC,,,,IT006IT007,3,1
92,CE339,Công nghệ IoT và ứng dụng,IoT Technology and Applications,Đang mở,KTMT,CN,,,,CE103CE224,3,1
93,CE340,Trí tuệ nhân tạo cho hệ thống nhúng,Artificial Intelligence for Embedded Systems,Đang mở,KTMT,CN,,,,,3,1
94,CE341,Lập trình nhúng trên thiết bị di động,Embedded Programming on Mobile Devices,Đang mở,KTMT,CN,,,,,3,1
95,CE342,Hệ thống thông minh,Smart Systems,Đang mở,KTMT,CN,,,,CE224,3,1
96,CE343,Trí tuệ nhân tạo cho xe tự hành,Artificial Intelligence for Autonomous Vehicles,Đang mở,KTMT,CN,,,,,3,1
97,CE344,Trí tuệ nhân tạo cho IoT,Artificial Intelligence for IoT,Đang mở,KTMT,CN,,,,,3,1
98,CE345,Kiến trúc IoT: giao thức mạng và bảo mật,IoT Architecture: Network Protocols and Security,Đang mở,KTMT,CN,,,,,3,1
99,CE346,Thiết kế Ăng-ten tích hợp cho thiết bị IoT,Antenna Design for IoT Devices,Đang mở,KTMT,CN,,,,,3,1
100,CE347,Điều khiển thông minh cho robot,Intelligent Control in Robotics,Đang mở,KTMT,CN,,,,MA003,3,1
101,CE348,Công nghệ cảm biến trong IoT,Sensor Technologies for IoT,Đang mở,KTMT,CN,,,,,3,1
102,CE349,Hệ thống nhúng trên SoC,Embedded Systems Design on SoC,Đang mở,KTMT,CN,,,,CE103,3,1
103,CE350,Xử lý ảnh hướng ASIC,Image Processing with ASIC,Đang mở,KTMT,CN,,,,CE436,3,1
104,CE351,Thiết kế bộ tăng tốc phần cứng,Hardware Accelerator Design,Đang mở,KTMT,CN,,,,CE433,3,1
105,CE352,Xử lý tín hiệu số trên FPGA,Digital Signal Processing on FPGA,Đang mở,KTMT,CN,,,,CE213CE436,3,1
106,CE353,Thiết kế vật lý vi mạch,Physical Design,Đang mở,KTMT,CN,,,,CE226,3,1
107,CE401,Kỹ thuật hệ thống máy tính,Computer system engineering,Đang mở,KTMT,CĐTN,,,,IT006IT007,3,0
108,CE402,Các hệ điều hành nhúng,Embedded operating systems,Đang mở,KTMT,CĐTN,,,,IT007IT006CE107,3,1
109,CE403,Thiết kế số,Digital design,Đang mở,KTMT,CĐTN,,,,PH002IT006CE221,3,1
110,CE404,Kỹ thuật chế tạo vi mạch,Integrated Circuit Fabrication,Đang mở,KTMT,CĐTN,,CE321,,,3,0
111,CE405,Tương tác người-máy,Human-Computer Interaction,Đang mở,KTMT,CĐTN,CE219,,,,3,0
112,CE406,Tương tác người-máy,Human-Computer Interaction,Đang mở,KTMT,CNTC,,,,CE103,3,1
113,CE407,Đồ án chuyên ngành hệ thống nhúng và robot,Major Project on Embedded Systems and Robot Design,Đang mở,KTMT,CĐTN,,CE412,,IT006,0,2
114,CE408,Đồ án chuyên ngành thiết kế vi mạch và phần cứng,Major Project on Integrated Circuit and Computer Hardware Design,Đang mở,KTMT,CĐTN,,,,CE201CE206CE213,0,2
115,CE409,Kỹ thuật thiết kế kiểm tra,Design Verification,Đang mở,KTMT,CN,,,,CE118CE213,3,1
116,CE410,Kỹ thuật hệ thống máy tính,Computer System Engineering,Đang mở,KTMT,CĐTN,,,,CE118CE224,3,1
117,CE411,Chuyên đề hệ thống nhúng và robot,Special Topics on Embedded Systems and Robotics,Đang mở,KTMT,CĐTN,,,,CE107,3,1
118,CE412,Đồ án chuyên ngành hệ thống nhúng và IoT,Major Project on Embedded System and IoT Design,Đang mở,KTMT,CN,,,,CE224,0,2
119,CE413,Đồ án chuyên ngành Robotics và AI,Major Project on Robotics and AI,Đang mở,KTMT,CN,,,,CE103CE224,0,2
120,CE421,Chuyên đề thiết kế vi mạch và phần cứng,Special Topics on Integrated Circuit and Computer Hardware Designs,Đang mở,KTMT,CĐTN,,,,CE118CE221CE222,3,1
121,CE430,Lập trình hệ thống,System programming,Đang mở,KTMT,CNTC,,,,,3,1
122,CE432,Thiết kế vi mạch hướng ASIC,ASIC Design,Đang mở,KTMT,CNTC,,,,CE118CE213,3,1
123,CE433,Thiết kế hệ thống SoC,SoC Design,Đang mở,KTMT,CNTC,,,,CE118IT006,3,1
124,CE434,Chuyên đề thiết kế hệ vi mạch 1,Special Topics on Integrated Circuit Design 1,Đang mở,KTMT,CNTC,,,,CE213,3,1
125,CE435,Chuyên đề thiết kế hệ vi mạch 2,Special Topics on Integrated Circuit Design 2,Đang mở,KTMT,CNTC,,,,CE213,3,1
126,CE436,Xử lý tín hiệu số và ứng dụng,Digital Signal Processing and Applications,Đang mở,KTMT,CNTC,,,,MA003MA006,3,1
127,CE437,Chuyên đề thiết kế hệ thống nhúng 1,Special Topics on Embedded Systems 1,Đang mở,KTMT,CNTC,,,,CE103,3,1
128,CE438,Chuyên đề thiết kế hệ thống nhúng 2,Special Topics on Embedded Systems 2,Đang mở,KTMT,CNTC,,,,CE103,3,1
129,CE439,Lập trình song song và hệ thống phân tán,Parallel Programming and Distributed Systems,Đang mở,KTMT,CNTC,,,,IT001IT006,3,1
130,CE440,Hệ thống định vị với ứng dụng Artificial Intelligence,Indoor and Outdoor Localization Systems with Artificial Intelligence Applications,Đang mở,KTMT,CN,,,,,3,1
131,CE441,Chuyên đề thiết kế Robotics và Artificial Intelligence 1,Special Topics on Robotics and Artificial Intelligence 1,Đang mở,KTMT,CN,,,,CE103CE224,3,1
132,CE442,Chuyên đề thiết kế Robotics và Artificial Intelligence 2,Special Topics on Robotics and Artificial Intelligence 2,Đang mở,KTMT,CN,,,,CE103CE224,3,1
133,CE501,Thực tập doanh nghiệp,Internship,Đang mở,KTMT,TTTN,,,,,0,3
134,CE502,Thực tập doanh nghiệp,Internship,Đang mở,KTMT,TTTN,,CE501,,,2,0
135,CE505,Khóa luận tốt nghiệp,Thesis,Đang mở,KTMT,KLTN,,,,CE206,10,0
136,CE506,Luận văn chuyên sâu đặc thù,Thesis,Đang mở,KTMT,CN,,,,,0,14
137,CE507,Đồ án tốt nghiệp tại doanh nghiệp,Industry Capstone Project,Đang mở,KTMT,TN,,,,,10,0
138,CE508,Đồ án tốt nghiệp,Capstone Project,Đang mở,KTMT,TN,,,,,0,6
139,CE510,Chuyên đề tốt nghiệp định hướng hệ thống nhúng và IoT,Special Project on Embedded Systems and IoT,Đang mở,KTMT,CĐTN,,,,,3,1
140,CE511,Chuyên đề tốt nghiệp định hướng Robotic và trí tuệ nhân tạo,Special Project on Robotics and Artificial Intelligence,Đang mở,KTMT,CĐTN,,,,,3,1
141,CE512,Chuyên đề tốt nghiệp định hướng thiết kế vi mạch,Special Project on  Integrated Circuit Design,Đang mở,KTMT,TN,,,,,3,1
142,CM101,Quản lý giao tiếp,Communication management,Đang mở,HTTT,ĐC,,,,,3,0
143,CNBU001,Mạng máy tính,Networking,Đang mở,MMT&TT,CN,,CSBU105,,,3,1
144,CNBU002,Bảo mật,Security,Đang mở,MMT&TT,CN,,,,,3,1
145,CNBU003,Dự án nghiên cứu,Computing Research Project,Đang mở,MMT&TT,CN,,CSBU009,,,4,4
146,CNBU004,Thiết kế và phát triển website,Website Design and Development,Đang mở,MMT&TT,CN,,CSBU103,,,3,1
147,CNBU005,Internet of Things,Internet of Things,Đang mở,MMT&TT,CN,,,,,3,1
148,CNBU006,An toàn mạng máy tính,Network Security,Đang mở,MMT&TT,CN,,,,,3,1
149,CNBU007,Pháp chứng kỹ thuật số,Forensics,Đang mở,MMT&TT,CN,,,,,3,1
150,CNBU008,Quản lý an toàn thông tin,Information Security Management,Đang mở,MMT&TT,CN,,,,,3,1
151,CNBU009,Thực tập,Internship,Đang mở,MMT&TT,TTTN,,,,,0,0
152,CNBU101,Toán cho tin học,Maths for Computing,Đang mở,MMT&TT,CN,,,,,40,25
153,CNBU102,Công nghệ mạng máy tính,Networking Technologies,Đang mở,MMT&TT,CN,,,,,40,25
154,CNBU103,Lập trình cho kỹ sư mạng máy tính,Programming for Network Engineers,Đang mở,MMT&TT,CN,,,,,40,25
155,CNBU104,Hệ thống Servers,Server Systems,Đang mở,MMT&TT,CN,,,,,40,25
156,CNBU105,Hệ thống mạng doanh nghiệp,Enterprise Network Systems,Đang mở,MMT&TT,CN,,,,,40,25
157,CNBU106,Hoạt động an ninh mạng,Cyber Security Operations,Đang mở,MMT&TT,CN,,,,,40,25
158,CNBU107,Dự án chuyên ngành,Enterprise Practice Project,Đang mở,MMT&TT,CN,,,,,40,25
159,CNBU108,Hệ điều hành,Applied Operating Systems,Đang mở,MMT&TT,CN,,,,,44,25
160,CNBU201,Công nghệ mạng không dây,Wireless Networking Technologies,Đang mở,MMT,CN,,,,,40,25
161,CNBU202,Hệ thống tường lửa nâng cao,Advanced Firewall Systems,Đang mở,MMT,CN,,,,,40,25
162,CNBU203,An toàn mạng máy tính,Network Security,Đang mở,MMT,CN,,,,,40,25
163,CNBU204,Ethical Hacking,Ethical Hacking,Đang mở,MMT,CN,,,,,40,25
164,CNBU205,Dự án cá nhân,Individual Honours Project,Đang mở,MMT,CN,,CSBU205,,,40,25
165,CNET1,Mạng máy tính,Computer networks,Đang mở,MMT&TT,ĐC,,IT005,,,3,1
166,CS003,Máy học nâng cao,Advanced machine learning,Đang mở,KHMT,CN,,CS315,,,3,0
167,CS004,Máy học trong xử lý ngôn ngữ tự nhiên,Machine learning in NLP,Đang mở,KHMT,CN,,,,,3,0
168,CS005,Giới thiệu ngành Khoa học Máy tính,Introduction to Computer Science,Đang mở,KHMT,ĐC,,IE005IS005SE005CE005NT005NT015EC005DS005AI001,,,1,0
169,CS013,Máy học nâng cao,Advanced machine learning,Đang mở,KHMT,CN,,CS315,,,3,1
170,CS014,Máy học trong xử lý ngôn ngữ tự nhiên,Machine learning in NLP,Đang mở,KHMT,CN,,CS324,,,3,1
171,CS019,Chuyên đề ứng dụng Trí tuệ nhân tạo,Applied artificial intelligence,Đang mở,KHMT,CN,,,,,4,0
172,CS101,Nguyên lý và phương pháp lập trình,Principles and Techniques of Programming,Đang mở,KHMT,CN,,CS111,,,3,0
173,CS102,Phân tích & thiết kế thuật toán,Design and analysis of algorithms,Đang mở,KHMT,CN,,CS112,,,3,0
174,CS103,Cơ sở lập trình,Introduction to programming,Đang mở,KHMT,CN,,CS111CS511SE330,,,4,0
175,CS104,Nhập môn công nghệ phần mềm,Software engineering,Đang mở,KHMT,CN,,SE104,,,3,0
176,CS105,Đồ họa máy tính,Computer Graphics,Đang mở,KHMT,CSN,,CS113,,,3,1
177,CS106,Trí tuệ nhân tạo,Artificial Intelligence,Đang mở,KHMT,CSN,,,,IT003,3,1
178,CS107,Các hệ cơ sở tri thức,Knowledge-Based Systems,Đang mở,KHMT,CN,,CS217,,,4,0
179,CS108,Lý thuyết thông tin,Information theory,Đang mở,KHMT,CN,,NT104,,,3,0
180,CS109,Máy học,Machine learning,Đang mở,KHMT,CN,,CS110,,,4,0
181,CS110,Nhập môn công nghệ tri thức và máy học,Introduction to Knowledge Engineering and Machine Learning,Đang mở,KHMT,CSN,,CS114,,,3,1
182,CS111,Nguyên lý và phương pháp lập trình,Principles and Techniques of Programming,Đang mở,KHMT,CSN,CS101,,,IT003,3,1
183,CS1113,Khoa học máy tính 1,Computer Science 1,Đang mở,HTTT,ĐC,CSC11,CS2134,,,3,1
184,CS112,Phân tích và thiết kế thuật toán,Design and Analysis of Algorithms,Đang mở,KHMT,CSN,,,,IT001IT003,3,1
185,CS113,Đồ họa máy tính và xử lý ảnh,Computer Graphics and Digital Image Processing,Đang mở,KHMT,CSN,,CS105,,IT001IT003,3,1
186,CS114,Máy học,Machine Learning,Đang mở,KHMT,CN,,DS102,,IT001MA003MA004,3,1
187,CS115,Toán cho khoa học máy tính,Mathematics for Computer Science,Đang mở,KHMT,CN,,,,IT001,4,0
188,CS116,Lập trình Python cho máy học,Python for Machine Learning,Đang mở,KHMT,CN,,,,IT001IT002,3,1
189,CS117,Tư duy tính toán,Computational Thinking,Đang mở,KHMT,CN,,,,,3,1
190,CS210,Xử lý ngôn ngữ tự nhiên nâng cao,Advanced natural language processing,Đang mở,KHMT,CN,,,,,4,0
191,CS211,Trí tuệ nhân tạo nâng cao,Advanced Artificial Intelligence,Đang mở,KHMT,CN,,,,CS106,3,1
192,CS212,Xử lý ngôn ngữ tự nhiên,Natural Language Processing,Đang mở,KHMT,CN,,,,,3,1
193,CS213,Ngôn ngữ học máy tính,Computational linguistics,Đang mở,,CN,,CS226,,,4,0
194,CS2133,Khoa học máy tính 2,Computer Science 2,Đang mở,HTTT,ĐC,CSC12,CS2134,,CS1113,3,1
195,CS2134,Khoa học máy tính,Computer Science,Đang mở,HTTT,ĐC,,,,,3,1
196,CS214,Biểu diễn tri thức và suy luận,Knowledge Representation and Reasoning,Đang mở,KHMT,CN,,,,,3,1
197,CS217,Các hệ cơ sở tri thức,Knowledge-Based Systems,Đang mở,KHMT,CN,CS107,,,IT002IT003,3,1
198,CS221,Xử lý ngôn ngữ tự nhiên,Natural Language Processing,Đang mở,KHMT,CN,,,,IT001MA003MA004,3,1
199,CS222,Xử lý ngôn ngữ tự nhiên nâng cao,Advanced Natural Language Processing,Đang mở,KHMT,CN,,,,CS221,3,1
200,CS223,Máy học nâng cao,Advanced machine learning,Đang mở,KHMT,CN,,CS315,,,3,1
201,CS224,Máy học xử lý ngôn ngữ tự nhiên,Machine learning in NLP,Đang mở,KHMT,CN,,CS324,,,3,1
202,CS225,Lập trình symbolic trong trí tuệ nhân tạo,Symbolic Programming in Artificial Intelligence,Đang mở,KHMT,CN,,CS314,,,4,0
203,CS226,Ngôn ngữ học máy tính,Computational Linguistics,Đang mở,KHMT,CN,CS213,,,,4,0
204,CS227,Khai thác dữ liệu và ứng dụng,Data Mining and Applications,Đang mở,KHMT,CN,,CS313,,,3,1
205,CS228,Máy học và ứng dụng,Machine learning and applications,Đang mở,KHMT,CN,,,,,3,1
206,CS229,Ngữ nghĩa học tính toán,Computational Semantics,Đang mở,KHMT,CN,,,,CS221,3,1
207,CS231,Nhập môn thị giác máy tính,Introduction to Computer Vision,Đang mở,KHMT,CN,,,,,3,1
208,CS232,Tính toán đa phương tiện,Introduction to Multimedia Computing,Đang mở,KHMT,CN,,,,,3,1
209,CS233,Nhận dạng Thị giác,Visual Pattern Recognition,Đang mở,KHMT,CN,,,,,3,1
210,CS2433,Lập trình C/C++,C/C++ Programming,Đang mở,HTTT,CSN,,MSIS2433,,,3,1
211,CS301,Chuyên đề nghiên cứu khoa học,Scientific Research Seminar,Đang mở,KHMT,CN,,,,,4,0
212,CS302,Seminar,Seminar,Đang mở,KHMT,CN,,,,,3,0
213,CS311,Kỹ thuật lập trình trí tuệ nhân tạo,Artificial Intelligence Programming Techniques,Đang mở,KHMT,CN,,,,IT003,3,1
214,CS312,Hệ thống đa tác tử,Multi-Agent Systems,Đang mở,KHMT,CN,,,,CS110,3,1
215,CS313,Khai thác dữ liệu và ứng dụng,Data Mining and Applications,Đang mở,KHMT,CN,,,,IT001IT003,3,1
216,CS314,Lập trình symbolic trong trí tuệ nhân tạo,Symbolic Programming in Artificial Intelligence,Đang mở,KHMT,CN,CS225,,,,3,1
217,CS315,Máy học nâng cao,Advanced Machine Learning,Đang mở,KHMT,CN,CS013,CS223,,CS110,3,1
218,CS316,Các hệ giải bài toán thông minh,Intelligent Problem-Solving Systems,Đang mở,KHMT,CN,CS408,,,,3,1
219,CS317,Phát triển và vận hành hệ thống máy học,Machine Learning Operations,Đang mở,KHMT,CN,,,,CS114,3,1
220,CS321,Ngôn ngữ học ngữ liệu,Corpus Linguistics,Đang mở,KHMT,CN,,,,IT001,3,1
221,CS322,Biểu diễn tri thức và ứng dụng,Knowledge representation and applications,Đang mở,KHMT,CN,,CS214,,CS212,4,0
222,CS323,Các hệ thống hỏi-đáp,Question-Answering Systems,Đang mở,KHMT,CN,,,,CS221,3,1
223,CS324,Máy học trong xử lý ngôn ngữ tự nhiên,Machine Learning for Natural Language Processing,Đang mở,KHMT,CN,CS004,CS224,,CS221,3,1
224,CS325,Dịch máy,Machine Translation,Đang mở,KHMT,CN,CS411,,,CS221,3,1
225,CS326,Các kĩ thuật trong xử lý ngôn ngữ tự nhiên,Advanced Techniques in Natural Language Processing,Đang mở,KHMT,CN,CS407,,,CS221,3,1
226,CS331,Thị giác máy tính nâng cao,Advanced Computer Vision,Đang mở,KHMT,CN,,,,CS231,3,1
227,CS332,Máy học trong thị giác máy tính,Machine Learning in Computer Vision,Đang mở,KHMT,CN,,,,,3,1
228,CS333,Đồ họa game,Computer Graphics in Game,Đang mở,KHMT,CN,,,,,2,1
229,CS334,Lập trình tính toán hình thức,Programming for formal computing,Đang mở,KHMT,CN,,,,,3,1
230,CS335,Tìm kiếm ảnh và video,Image and Video Search,Đang mở,KHMT,CNTC,,,,IT001,3,1
231,CS336,Truy vấn thông tin đa phương tiện,Multimedia Information Retrieval,Đang mở,KHMT,CN,,,,,3,1
232,CS3363,Tổ chức ngôn ngữ lập trình,Organization of Programming Languages,Đang mở,HTTT,ĐC,,MSIS207,,,3,1
233,CS337,Xử lý âm thanh và tiếng nói,Speech and Audio Signal Processing,Đang mở,KHMT,CN,,,,IT003,3,1
234,CS3373,Lập trình hướng đối tượng nâng cao cho môi trường windows,Advanced Object-Oriented Programming for Windows,Đang mở,HTTT,CSN,,IEM5723,,,3,1
235,CS338,Nhận dạng,Pattern Recognition,Đang mở,KHMT,CN,,,,,3,1
236,CS339,Xử lý văn bản y khoa,Natural Language Processing with Health Focus,Đang mở,KHMT,CNTC,,,,,3,1
237,CS3423,Cấu trúc tập tin,File Structures,Đang mở,HTTT,CSN,,CS4153,,,3,1
238,CS3443,Hệ thống máy tính,Computer Systems,Đang mở,HTTT,CSN,,,,,3,0
239,CS351,Chuyên đề NCKH 1,Scientific Research 1,Đang mở,KHMT,CN,,,,,4,0
240,CS3513,Phương pháp số cho máy tính kỹ thuật số,Numerical methods for digital computers,Đang mở,HTTT,CNTC,,,,,3,0
241,CS352,Chuyên đề NCKH 2,Scientific Research 2,Đang mở,KHMT,CN,,,,,4,0
242,CS3613,Cơ sở tính toán,Theoretical Foundations of Computing,Đang mở,HTTT,CNCS,,STAT3013,,,3,1
243,CS3653,Toán rời rạc,Discrete Mathematics,Đang mở,HTTT,ĐC,,,,MATH2154,3,0
244,CS371,Seminar chuyên đề 1,Seminar 1,Đang mở,KHMT,CN,,,,,2,0
245,CS372,Seminar chuyên đề 2,Seminar 2,Đang mở,KHMT,CN,,,,,2,0
246,CS401,Công nghệ Java,Java technology,Đang mở,KHMT,CĐTN,,,,,3,1
247,CS402,Phân tích thiết kế HTTT quản lý,Management-information system analysis and design,Đang mở,KHMT,CN,,,,,3,0
248,CS403,Các dịch vụ web,Web services,Đang mở,KHMT,CN,,,,,3,0
249,CS404,Công nghệ đa tác tử (Muli-Agent),Multi-agent technology,Đang mở,KHMT,CĐTN,,CS312,,,4,0
250,CS405,Logic mờ và ứng dụng,Fuzzy Logic and Applications,Đang mở,KHMT,CĐTN,,,,,3,1
251,CS406,Xử lý ảnh và ứng dụng,Image Processing and Applications,Đang mở,KHMT,CĐTN,,,,,3,1
252,CS407,Các kỹ thuật trong xử lý NNTN,Advanced Techniques in Natural Language Processing,Đang mở,KHMT,CĐTN,,CS326,,,4,0
253,CS408,Các hệ giải toán thông minh,Intelligent Problem-Solving Systems,Đang mở,KHMT,CĐTN,,CS316,,,4,0
254,CS409,Hệ suy diễn mờ,Fuzzy Inference Systems,Đang mở,KHMT,CĐTN,,,,,3,1
255,CS410,Mạng neural và thuật giải di truyền,Neural Networks and Genetic Algorithms,Đang mở,KHMT,CĐTN,,,IT003,,3,1
256,CS411,Dịch máy,Machine Translation,Đang mở,KHMT,CĐTN,,CS325,,,4,0
257,CS412,Web ngữ nghĩa,Semantic Web,Đang mở,KHMT,CĐTN,,,,CS221,3,1
258,CS414,Lý thuyết automat và ứng dụng,Automata Theory and Applications,Đang mở,KHMT,CĐTN,,,,MA004,3,1
259,CS4143,Đồ họa máy tính,Computer Graphics,Đang mở,HTTT,CNTC,,,,,3,0
260,CS415,Mã hóa thông tin,Encoding information,Đang mở,KHMT,CĐTN,,,,,3,1
261,CS4153,Phát triển ứng dụng trên di động,Mobile Application Development,Đang mở,HTTT,CN,,,,CS2133,3,0
262,CS417,Nhận dạng,Pattern recognition,Đang mở,KHMT,CN,,,,,2,1
263,CS418,Trực quan máy tính,Visual computing,Đang mở,KHMT,CĐTN,,,,,3,1
264,CS419,Truy xuất thông tin,Information Retrieval,Đang mở,KHMT,CĐTN,,,,CS115,3,1
265,CS420,Các vấn đề chọn lọc trong thị giác máy tính,Selected Topics in Computer Vision,Đang mở,KHMT,CĐTN,,,,CS231,3,1
266,CS421,Khai thác dữ liệu đa phương tiện,Khai thác dữ liệu đa phương tiện,Đang mở,KHMT,CĐTN,,,,,3,1
267,CS4243,Thuật toán và tiến trình trong an toàn máy tính,Algorithms and Processes in Computer Security,Đang mở,HTTT,CSN,,,,CS4283,3,0
268,CS4273,Nhập môn Công nghệ phần mềm,Introduction to Software Engineering,Đang mở,HTTT,CNCS,,,,,3,1
269,CS4283,Mạng máy tính,Computer Networks,Đang mở,HTTT,ĐC,,,,,3,0
270,CS431,Các kĩ thuật học sâu và ứng dụng,Deep Learning and Applications,Đang mở,KHMT,CĐTN,,,,IT001IT002,2,1
271,CS4323,Hệ điều hành,Operating Systems,Đang mở,HTTT,ĐC,,,,,3,0
272,CS4343,Cấu trúc dữ liệu và giải thuật,Data Structures and Algorithms,Đang mở,HTTT,ĐC,,,,CS2134,3,1
273,CS4344,An ninh mạng,Cyber Security,Đang mở,HTTT,CSN,,,,,3,0
274,CS4793,Trí tuệ nhân tạo,Artificial Intelligence,Đang mở,HTTT,CNCS,,MKTG5883,,,3,1
275,CS4883,Các vấn đề xã hội trong tính toán,Social issues in computing,Đang mở,HTTT,CNTC,,,,,3,0
276,CS5000,Luận văn,Thesis,Đang mở,HTTT,KLTN,,,,,10,0
277,CS501,Khóa luận tốt nghiệp,Thesis,Đang mở,KHMT,KLTN,,,,,10,0
278,CS502,Các công nghệ web và ứng dụng,Web technology and applications,Đang mở,KHMT,CN,,SE341,,,2,0
279,CS503,Môn tốt nghiệp KHMT 2,Computer science,Đang mở,KHMT,CN,,,,IT003,3,0
280,CS5030,Thực tập tốt nghiệp,Internship,Đang mở,HTTT,TTTN,,,,,3,0
281,CS5031,Thực tập doanh nghiệp,Internship,Đang mở,HTTT,TN,,,,,2,0
282,CS504,Công nghệ .NET,.Net technology,Đang mở,KHMT,CN,,SE310,,,3,1
283,CS505,Khoá luận tốt nghiệp,Thesis,Đang mở,KHMT,KLTN,,,,,10,0
284,CS506,Chuyên đề J2EE,J2EE,Đang mở,KHMT,CN,,SE325,,,3,1
285,CS507,Hệ điều hành Linux,Linux operating systems,Đang mở,KHMT,CN,,NT103,,,3,1
286,CS508,Lập trình cơ sở dữ liệu,Database programming,Đang mở,KHMT,CN,,IS203,,,3,1
287,CS510,Lý thuyết thông tin,Information theory,Đang mở,KHMT,CN,,NT104,,,3,0
288,CS511,Ngôn ngữ lập trình C#,C# Programming Language,Đang mở,KHMT,CNTC,CS512,,,IT002IT003IT001,3,1
289,CS513,Ngôn ngữ lập trình Java,Java programming language,Đang mở,KHMT,CN,,SE330,,,3,1
290,CS515,Phân tích thiết kế hệ thống thông tin,Information system analysis and design,Đang mở,KHMT,CN,,,,,3,1
291,CS516,Phân tích thiết kế hướng đối tượng với UML,Object-oriented analysis and design with UML,Đang mở,KHMT,CN,,,,,3,1
292,CS517,Quản lý dự án,Project management,Đang mở,KHMT,CN,,IS208,,,3,0
293,CS518,Xây dựng phần mềm hướng đối tượng,Object-oriented software development,Đang mở,KHMT,CN,,,,,3,1
294,CS519,Phương pháp luận nghiên cứu khoa học,Scientific Research Methodology,Đang mở,KHMT,CNTC,SS005,,,,3,0
295,CS521,Toán rời rạc nâng cao,Advanced Discrete Mathematics,Đang mở,KHMT,CNTC,,,,IT003MA004,4,0
296,CS522,Đại số máy tính,Computer Algebra,Đang mở,KHMT,CĐTN,,,,IT003MA004,3,1
297,CS523,Cấu trúc dữ liệu và giải thuật nâng cao,Advanced Data Structures and Algorithms,Đang mở,KHMT,CNTC,DSAL2,,,IT003IT001,3,1
298,CS524,Một số ứng dụng của xử lý ngôn ngữ tự nhiên,Applied Natural Language Processing,Đang mở,KHMT,CNTC,,,,CS221,3,1
299,CS525,Thị giác máy tính trong tương tác người – máy,Computer Vision in Human-Computer Interaction,Đang mở,KHMT,CN,,,,,3,1
300,CS526,Phát triển ứng dụng đa phương tiện trên thiết bị di động,Multimedia Mobile Applications,Đang mở,KHMT,CNTC,,,,IT002IT003,3,1
301,CS527,Thực tại ảo,Virtual Reality,Đang mở,KHMT,CNTC,,,,,3,1
302,CS528,Trực quan hóa thông tin,Information Visualization,Đang mở,KHMT,CNTC,,,,,3,1
303,CS529,Các vấn đề nghiên cứu và ứng dụng trong khoa học máy tính,Selected Topics for Researching and Application in Computer Science,Đang mở,KHMT,CNTC,,,,,4,0
304,CS530,Đồ án chuyên ngành,Undergraduate Research Project,Đang mở,KHMT,CNTC,,,,,3,0
305,CS531,Đồ họa trong video game,Computer Graphics in Video Games,Đang mở,KHMT,CN,,,,,3,1
306,CS532,Thị giác máy tính trong tương tác người-máy,Computer Vision in Human-Computer Interaction,Đang mở,KHMT,CN,,,,,3,1
307,CS534,Lập trình Javascript và ứng dụng,JavaScript Programming and Applications,Đang mở,KHMT,CNTC,,,,,3,1
308,CS535,Tổng hợp tiếng nói,Speech Synthesis,Đang mở,KHMT,CNTC,,,,CS221CS114,3,1
309,CS5423,Nguyên lý các hệ cơ sở dữ liệu,Principles of Database Systems,Đang mở,HTTT,CSN,,,,,3,1
