Số TT,Mã MH,Tên MH (VN),Tên MH (EN),Còn mở lớp,Đơn vị quản lý,Loại MH,Mã cũ,Mã tương đương,Mã tiên quyết,Mã môn học trước,Số TCLT,Số TCTH
931,SE321,Lập trình trên thiết bị di động,Mobile Device Application Development,Đang mở,CNPM,CN,,SE346,,,4,0
932,SE322,Công nghệ Web và ứng dụng,Web Technology and Applications,Đang mở,CNPM,CN,,SE341,,,2,0
933,SE323,Thiết kế Game,Introduction to game design,Đang mở,CNPM,CN,,SE220,,,4,0
934,SE324,Nhập môn lập trình 3D game,3D game engine design,Đang mở,CNPM,CN,,,,,3,1
935,SE325,Chuyên đề J2EE,J2EE,Đang mở,CNPM,CNTC,,,,IT002IT003IT004,3,1
936,SE326,Cơ sở dữ liệu nâng cao,Advanced Databases,Đang mở,CNPM,CN,,IS337,,,2,0
937,SE327,Phát triển và vận hành game,Game Development and Operations,Đang mở,CNPM,CNTC,,,,SE102,3,0
938,SE328,Lập trình trí tuệ nhân tạo trong game,Artificial Intelligent in Game Development,Đang mở,CNPM,CNTC,SE334,,,IT002IT003SE102,3,1
939,SE329,Thiết kế 3D Game Engine,3D Game Engine Design,Đang mở,CNPM,CNTC,,,,SE102,3,1
940,SE330,Ngôn ngữ lập trình Java,Java Programming Language,Đang mở,CNPM,CSN,SE311,,,IT001IT002,3,1
941,SE331,Chuyên đề E-commerce,E-Commerce,Đang mở,CNPM,CNTC,SE331,,,IT004SE104,2,0
942,SE332,Chuyên đề cơ sở dữ liệu nâng cao,Advanced Database,Đang mở,CNPM,CN,SE326,,,IT004,2,0
943,SE333,Chuyên đề E-Government,E-Government,Đang mở,CNPM,CN,,SE404,,,2,0
944,SE334,Các phương pháp lập trình,Programming Paradigms,Đang mở,CNPM,CN,SE103,,,IT001,2,1
945,SE335,Công nghệ XML và ứng dụng,XML technology and applications,Đang mở,CNPM,CN,,,,,3,1
946,SE336,Phương pháp luận sáng tạo KH-CN,Scientific methodology and innovation,Đang mở,CNPM,CN,,CS519,,,2,0
947,SE337,Các thuật toán thông minh,Intelligent Algorithms,Đang mở,CNPM,CN,,SE313,,,1,0
948,SE338,Logic mờ,Fuzzy logic,Đang mở,CNPM,CN,SE342,CS405,,,2,0
949,SE339,Xử lý phân bổ,Distributed computing,Đang mở,CNPM,CN,,,,,2,1
950,SE340,Quản lý dự án công nghệ thông tin,Information-technology project management,Đang mở,CNPM,CN,SE210,IS208,,IT001,3,1
951,SE341,Công nghệ Web và ứng dụng,Web technology and applications,Đang mở,CNPM,CN,,,,IT001IT002IT004,2,0
952,SE342,Logic mờ,Fuzzy logic,Đang mở,CNPM,CN,,,,,2,0
953,SE343,Công nghệ Portal,Portal Technology,Đang mở,CNPM,CNTC,SE343,,,SE347,3,0
954,SE344,Lập trình game trong các thiết bị di động,Mobile Game Programming,Đang mở,CNPM,CNTC,SE344,,,IT001SE346,3,1
955,SE345,Kỹ thuật lập trình nhúng,Embedded programming techniques,Đang mở,CNPM,CN,,,,,3,1
956,SE346,Lập trình trên thiết bị di động,Mobile Device Application Development,Đang mở,CNPM,CN,,,,IT001IT008,3,1
957,SE347,Công nghệ web và ứng dụng,Web Technologies and Applications,Đang mở,CNPM,CNTC,,SE341,,IT001IT002IT004,3,1
958,SE348,Chuyên đề M-commerce,M-Commerce,Đang mở,CNPM,ĐC,,,,SE331,2,0
959,SE349,Nhập môn Quản trị doanh nghiệp,Introduction to business administration,Đang mở,CNPM,CN,ITEM1,IE202,,,2,0
960,SE350,Chuyên đề E-learning,E-Learning,Đang mở,CNPM,ĐC,,,,,2,0
